sample_id;timestamp;GPU_freq_set;power_cpu_w;power_gpu_w;power_mem_w;total_cpu_time_s;total_mem_access;total_llc_misses
990;50.305;1300;4.3700000000000001;0.46000000000000002;1.5;0.26900000000000002;127339664;606294
991;50.356000000000002;1300;4.3026249999999999;0.46000000000000002;1.49;0.35799999999999998;160683228;915960
992;50.406999999999996;1300;4.2930000000000001;0.46000000000000002;1.48;0.26099999999999995;108035973;499706
993;50.457000000000001;1300;4.2930000000000001;0.46000000000000002;1.50925;0.19500000000000003;41807268;2345226
994;50.508000000000003;1300;4.2930000000000001;0.46000000000000002;1.538;0.20799999999999999;75606627;1408737
995;50.558999999999997;1300;4.2160000000000002;0.46000000000000002;1.5217142857142858;0.26499999999999996;77164482;522540
996;50.609000000000002;1300;4.2160000000000002;0.46000000000000002;1.5189999999999999;0.20599999999999999;74400556;371175
997;50.659999999999997;1300;4.2160000000000002;0.46000000000000002;1.5189999999999999;0.25800000000000001;82213713;464539
998;50.710999999999999;1300;4.1399999999999997;0.46000000000000002;1.5189999999999999;0.26000000000000001;81436949;480523
999;50.761000000000003;1300;4.1399999999999997;0.46000000000000002;1.507125;0.29599999999999999;84334800;490829
1000;50.811999999999998;1300;4.1399999999999997;0.46000000000000002;1.5;0.254;81172158;543886
1001;50.863;1300;4.0918749999999999;0.46000000000000002;1.5;0.26400000000000001;97359772;501792
1002;50.912999999999997;1300;4.0629999999999997;0.46000000000000002;1.5;0.245;63907238;478201
1003;50.963999999999999;1300;4.0629999999999997;0.46000000000000002;1.5141249999999999;0.24900000000000003;73615188;439473
1004;51.015000000000001;1300;4.053375;0.46000000000000002;1.538;0.26000000000000001;61893635;2875793
1005;51.066000000000003;1300;3.9860000000000002;0.46000000000000002;1.5217142857142858;0.26100000000000001;57610293;1065028
1006;51.116;1300;3.9860000000000002;0.46000000000000002;1.5189999999999999;0.20799999999999999;43000831;366078
1007;51.167000000000002;1300;3.9100000000000001;0.46000000000000002;1.507125;0.28499999999999998;49678593;405829
1008;51.218000000000004;1300;3.9100000000000001;0.46000000000000002;1.4975000000000001;0.23499999999999999;43087178;426246
1009;51.268000000000001;1300;3.9100000000000001;0.46000000000000002;1.48;0.26200000000000001;46655978;416526
1010;51.319000000000003;1300;3.8907500000000002;0.46000000000000002;1.48;0.26300000000000001;48622684;537456
1011;51.369;1300;3.9100000000000001;0.46000000000000002;1.47525;0.26300000000000001;79715017;515187
1012;51.420000000000002;1300;3.9100000000000001;0.46000000000000002;1.4610000000000001;0.30000000000000004;95514342;686182
1013;51.470999999999997;1300;3.9100000000000001;0.46000000000000002;1.4610000000000001;0.221;63554237;259617
1014;51.521000000000001;1300;3.9100000000000001;0.46000000000000002;1.449125;0.26400000000000001;79382228;441715
1015;51.572000000000003;1300;3.9100000000000001;0.46000000000000002;1.4419999999999999;0.25900000000000001;80439368;407654
1016;51.622;1300;3.9384999999999999;0.46000000000000002;1.4284285714285714;0.29499999999999998;87782999;430925
1017;51.673000000000002;1300;3.9860000000000002;0.46000000000000002;1.423;0.17099999999999999;33545635;326643
1018;51.723999999999997;1300;3.9860000000000002;0.46000000000000002;1.423;0.26000000000000001;80431559;425553
1019;51.774000000000001;1300;3.9860000000000002;0.46000000000000002;1.423;0.26300000000000001;80486157;769024
1020;51.825000000000003;1300;3.9860000000000002;0.46000000000000002;1.4419999999999999;0.25900000000000001;59083002;1072206
1021;51.875999999999998;1300;3.9860000000000002;0.46000000000000002;1.4396249999999999;0.26499999999999996;77566709;539344
1022;51.926000000000002;1300;3.9860000000000002;0.46000000000000002;1.423;0.26000000000000001;72411567;450074
1023;51.976999999999997;1300;3.9860000000000002;0.46000000000000002;1.423;0.38200000000000001;134799978;857291
1024;52.027000000000001;1300;3.9860000000000002;0.46000000000000002;1.4205000000000001;0.13700000000000001;14880074;50929
1025;52.078000000000003;1300;4.014875;0.46000000000000002;1.4205000000000001;0.26200000000000001;115764780;504404
1026;52.128999999999998;1300;4.139875;0.46000000000000002;1.423;0.26399999999999996;152815980;477959
1027;52.179000000000002;1300;4.2270000000000003;0.46000000000000002;1.423;0.21099999999999999;109876452;419320
1028;52.229999999999997;1300;4.2930000000000001;0.46000000000000002;1.4325000000000001;0.25800000000000001;115219585;593670
1029;52.280999999999999;1300;4.3411249999999999;0.46000000000000002;1.4419999999999999;0.25900000000000001;106556867;1270695
1030;52.331000000000003;1300;4.3700000000000001;0.46000000000000002;1.4419999999999999;0.36200000000000004;130783104;891156
1031;52.381999999999998;1300;4.3603750000000003;0.46000000000000002;1.4277500000000001;0.13800000000000001;55924133;272492
1032;52.432000000000002;1300;4.2930000000000001;0.46000000000000002;1.413;0.20799999999999996;66644676;321528
1033;52.482999999999997;1300;4.2545000000000002;0.46000000000000002;1.403;0.27000000000000002;81495143;489489
1034;52.533000000000001;1300;4.2160000000000002;0.46000000000000002;1.3867142857142858;0.13699999999999998;46697230;140738
1035;52.584000000000003;1300;4.2160000000000002;0.46000000000000002;1.3839999999999999;0.21699999999999997;91590438;396901
1036;52.634;1300;4.2160000000000002;0.46000000000000002;1.3839999999999999;0.19199999999999998;101846740;360382
1037;52.685000000000002;1300;4.2160000000000002;0.46000000000000002;1.3839999999999999;0.20200000000000001;80155022;523739
1038;52.735999999999997;1300;4.2051428571428566;0.46000000000000002;1.3677142857142859;0.20599999999999999;64486376;323846
1039;52.786000000000001;1300;4.1399999999999997;0.46000000000000002;1.367375;0.25800000000000001;94103328;395143
1040;52.837000000000003;1300;4.1207500000000001;0.46000000000000002;1.365;0.185;91386409;622621
1041;52.887;1300;4.0341250000000004;0.46000000000000002;1.365;0.13200000000000001;61641298;268750
1042;52.938000000000002;1300;3.9642857142857144;0.46000000000000002;1.3541428571428571;0.15300000000000002;63273253;270955
1043;52.988;1300;3.9100000000000001;0.46000000000000002;1.3460000000000001;0.153;63689451;273795
1044;53.039000000000001;1300;3.8330000000000002;0.46000000000000002;1.3460000000000001;0.15300000000000002;64417475;272274
1045;53.088999999999999;1300;3.784875;0.46000000000000002;1.3436250000000001;0.156;67443549;265224
1046;53.140000000000001;1300;3.7559999999999998;0.46000000000000002;1.3351428571428572;0.21200000000000002;82940427;369178
1047;53.191000000000003;1300;3.8330000000000002;0.46000000000000002;1.3460000000000001;0.218;118373820;655284
1048;53.241;1300;3.9425714285714286;0.46000000000000002;1.3487142857142858;0.20100000000000001;102482427;791011
1049;53.292000000000002;1300;4.0519999999999996;0.46000000000000002;1.3622857142857143;0.27400000000000002;129664584;1040728
1050;53.341999999999999;1300;4.1684999999999999;0.46000000000000002;1.3792500000000001;0.21699999999999997;106039608;791862
1051;53.393000000000001;1300;4.2641249999999999;0.46000000000000002;1.3839999999999999;0.248;130847609;746612
1052;53.444000000000003;1300;4.359;0.46000000000000002;1.3839999999999999;0.247;125448542;937103
1053;53.494;1300;4.4175000000000004;0.46000000000000002;1.3839999999999999;0.16;88039434;376436
1054;53.545000000000002;1300;4.4677142857142851;0.46000000000000002;1.3839999999999999;0.21999999999999997;113230471;783909
1055;53.594999999999999;1300;4.5787500000000003;0.46000000000000002;1.39825;0.24199999999999999;130684099;900765
1056;53.646000000000001;1300;4.5979999999999999;0.46000000000000002;1.4227142857142858;0.20000000000000001;104395107;469928
1057;53.695999999999998;1300;4.6420000000000003;0.46000000000000002;1.480375;0.20699999999999999;115234729;2702923
1058;53.747;1300;4.6749999999999998;0.46000000000000002;1.5244285714285712;0.26300000000000001;146322470;3132061
1059;53.798000000000002;1300;4.6749999999999998;0.46000000000000002;1.5742499999999999;0.17399999999999999;80519339;3138722
1060;53.847999999999999;1300;4.6749999999999998;0.46000000000000002;1.5960000000000001;0.26900000000000002;158829338;3008545
1061;53.899000000000001;1300;4.7225000000000001;0.46000000000000002;1.5905714285714287;0.21199999999999997;130288419;1548870
1062;53.948999999999998;1300;4.7510000000000003;0.46000000000000002;1.577;0.17000000000000001;88337670;1356440
1063;54;1300;4.7510000000000003;0.46000000000000002;1.577;0.22699999999999998;135758924;1421092
1064;54.051000000000002;1300;4.7510000000000003;0.46000000000000002;1.5694999999999999;0.20400000000000001;122444069;1217689
1065;54.101999999999997;1300;4.7320000000000002;0.46000000000000002;1.5960000000000001;0.16799999999999998;77317022;187600
1066;54.152000000000001;1300;4.6420000000000003;0.46000000000000002;1.576875;0.13999999999999999;48110451;136008
1067;54.203000000000003;1300;4.5021250000000004;0.46000000000000002;1.5475000000000001;0.15600000000000003;58289554;126571
1068;54.253;1300;4.3778750000000004;0.46000000000000002;1.5213749999999999;0.154;58115008;137066
1069;54.304000000000002;1300;4.2545000000000002;0.46000000000000002;1.4950000000000001;0.15400000000000003;58619544;135108
1070;54.353999999999999;1300;4.161714285714285;0.46000000000000002;1.4772857142857143;0.156;58632161;136730
1071;54.405000000000001;1300;4.0726250000000004;0.46000000000000002;1.4610000000000001;0.159;59494676;139423
1072;54.456000000000003;1300;3.995625;0.46000000000000002;1.4419999999999999;0.21099999999999999;99229739;167518
1073;54.506;1300;3.9195000000000002;0.46000000000000002;1.4277500000000001;0.10300000000000001;19293955;108850
1074;54.557000000000002;1300;3.842625;0.46000000000000002;1.4179999999999999;0.15300000000000002;58851825;139045
1075;54.606999999999999;1300;3.7890000000000001;0.46000000000000002;1.403;0.152;57819112;138285
1076;54.658000000000001;1300;3.7559999999999998;0.46000000000000002;1.3935;0.15200000000000002;57969097;142395
1077;54.707999999999998;1300;3.6800000000000002;0.46000000000000002;1.3839999999999999;0.153;58011783;136525
1078;54.759;1300;3.6607500000000002;0.46000000000000002;1.3816250000000001;0.188;88437039;137159
1079;54.808999999999997;1300;3.6030000000000002;0.46000000000000002;1.365;0.11499999999999999;25794237;129568
1080;54.859999999999999;1300;3.6030000000000002;0.46000000000000002;1.3578749999999999;0.15200000000000002;56656248;135189
1081;54.909999999999997;1300;3.5644999999999998;0.46000000000000002;1.3460000000000001;0.17300000000000001;61984707;178785
1082;54.960999999999999;1300;3.5259999999999998;0.46000000000000002;1.3460000000000001;0.13400000000000001;51401978;110316
1083;55.012;1300;3.5259999999999998;0.46000000000000002;1.3792500000000001;0.15699999999999997;56563543;139493
1084;55.061999999999998;1300;3.5151428571428571;0.46000000000000002;1.3839999999999999;0.156;32517328;139362
1085;55.113;1300;3.4307500000000002;0.46000000000000002;1.3792500000000001;0.15600000000000003;23351246;137269
1086;55.162999999999997;1300;3.3454999999999999;0.46000000000000002;1.365;0.157;19411186;141298
